checkpoint,transform,relationship,pearson,spearman,n_samples,note
0b_baseline_last,random_resized_crop,grad_cosine_vs_feature_cosine,0.70501032,0.72099745,600,exploratory / descriptive only; no significance test
0b_baseline_last,random_resized_crop,grad_norm_ratio_vs_delta_margin,-0.31638397,-0.7677138,600,exploratory / descriptive only; no significance test
0b_baseline_last,gaussian_blur,grad_cosine_vs_delta_margin,0.12340123,0.14748913,600,exploratory / descriptive only; no significance test
0b_baseline_last,gaussian_blur,grad_cosine_vs_feature_cosine,0.73348777,0.75424915,600,exploratory / descriptive only; no significance test
0b_baseline_last,gaussian_blur,grad_norm_ratio_vs_delta_margin,-0.18648682,-0.73705155,600,exploratory / descriptive only; no significance test
0b_baseline_last,random_erasing,grad_cosine_vs_delta_margin,0.41665873,0.33091809,600,exploratory / descriptive only; no significance test
0b_baseline_last,random_erasing,grad_cosine_vs_feature_cosine,0.87556092,0.91407259,600,exploratory / descriptive only; no significance test
0b_baseline_last,random_erasing,grad_norm_ratio_vs_delta_margin,-0.21041743,-0.81123409,600,exploratory / descriptive only; no significance test
0b_baseline_last,pooled (non-control),grad_cosine_vs_delta_margin,0.19796275,0.13767287,3600,exploratory / descriptive only; no significance test
0b_baseline_last,pooled (non-control),grad_cosine_vs_feature_cosine,0.76215683,0.74863478,3600,exploratory / descriptive only; no significance test
0b_baseline_last,pooled (non-control),grad_norm_ratio_vs_delta_margin,-0.20623248,-0.78524618,3600,exploratory / descriptive only; no significance test
0b_color_jitter_best,color_jitter,grad_cosine_vs_delta_margin,-0.047195968,0.041675616,600,exploratory / descriptive only; no significance test
0b_color_jitter_best,color_jitter,grad_cosine_vs_feature_cosine,0.78368004,0.81355798,600,exploratory / descriptive only; no significance test
0b_color_jitter_best,color_jitter,grad_norm_ratio_vs_delta_margin,-0.15534791,-0.72809358,600,exploratory / descriptive only; no significance test
0b_color_jitter_best,pooled (non-control),grad_cosine_vs_delta_margin,-0.047195968,0.041675616,600,exploratory / descriptive only; no significance test
0b_color_jitter_best,pooled (non-control),grad_cosine_vs_feature_cosine,0.78368004,0.81355798,600,exploratory / descriptive only; no significance test
0b_color_jitter_best,pooled (non-control),grad_norm_ratio_vs_delta_margin,-0.15534791,-0.72809358,600,exploratory / descriptive only; no significance test
0b_rotation_best,rotation,grad_cosine_vs_delta_margin,-0.10681244,-0.093025758,600,exploratory / descriptive only; no significance test
0b_rotation_best,rotation,grad_cosine_vs_feature_cosine,0.66874631,0.73542021,600,exploratory / descriptive only; no significance test
0b_rotation_best,rotation,grad_norm_ratio_vs_delta_margin,-0.23471968,-0.71675194,600,exploratory / descriptive only; no significance test
0b_rotation_best,pooled (non-control),grad_cosine_vs_delta_margin,-0.10681244,-0.093025758,600,exploratory / descriptive only; no significance test
0b_rotation_best,pooled (non-control),grad_cosine_vs_feature_cosine,0.66874631,0.73542021,600,exploratory / descriptive only; no significance test
0b_rotation_best,pooled (non-control),grad_norm_ratio_vs_delta_margin,-0.23471968,-0.71675194,600,exploratory / descriptive only; no significance test
0b_crop_best,random_resized_crop,grad_cosine_vs_delta_margin,0.065690365,0.014312929,600,exploratory / descriptive only; no significance test
0b_crop_best,random_resized_crop,grad_cosine_vs_feature_cosine,0.67485735,0.67045226,600,exploratory / descriptive only; no significance test
0b_crop_best,random_resized_crop,grad_norm_ratio_vs_delta_margin,-0.18961936,-0.74072172,600,exploratory / descriptive only; no significance test
0b_crop_best,pooled (non-control),grad_cosine_vs_delta_margin,0.065690365,0.014312929,600,exploratory / descriptive only; no significance test
0b_crop_best,pooled (non-control),grad_cosine_vs_feature_cosine,0.67485735,0.67045226,600,exploratory / descriptive only; no significance test
0b_crop_best,pooled (non-control),grad_norm_ratio_vs_delta_margin,-0.18961936,-0.74072172,600,exploratory / descriptive only; no significance test
0b_gaussian_blur_best,gaussian_blur,grad_cosine_vs_delta_margin,0.0058106945,-0.024410568,600,exploratory / descriptive only; no significance test
0b_gaussian_blur_best,gaussian_blur,grad_cosine_vs_feature_cosine,0.73636406,0.7857724,600,exploratory / descriptive only; no significance test
0b_gaussian_blur_best,gaussian_blur,grad_norm_ratio_vs_delta_margin,-0.24123014,-0.72553385,600,exploratory / descriptive only; no significance test
0b_gaussian_blur_best,pooled (non-control),grad_cosine_vs_delta_margin,0.0058106945,-0.024410568,600,exploratory / descriptive only; no significance test
0b_gaussian_blur_best,pooled (non-control),grad_cosine_vs_feature_cosine,0.73636406,0.7857724,600,exploratory / descriptive only; no significance test
0b_gaussian_blur_best,pooled (non-control),grad_norm_ratio_vs_delta_margin,-0.24123014,-0.72553385,600,exploratory / descriptive only; no significance test
0b_random_erasing_best,random_erasing,grad_cosine_vs_delta_margin,0.2978823,0.16335801,600,exploratory / descriptive only; no significance test
0b_random_erasing_best,random_erasing,grad_cosine_vs_feature_cosine,0.86385214,0.88981803,600,exploratory / descriptive only; no significance test
0b_random_erasing_best,random_erasing,grad_norm_ratio_vs_delta_margin,-0.41266987,-0.76140006,600,exploratory / descriptive only; no significance test
0b_random_erasing_best,pooled (non-control),grad_cosine_vs_delta_margin,0.2978823,0.16335801,600,exploratory / descriptive only; no significance test
0b_random_erasing_best,pooled (non-control),grad_cosine_vs_feature_cosine,0.86385214,0.88981803,600,exploratory / descriptive only; no significance test
0b_random_erasing_best,pooled (non-control),grad_norm_ratio_vs_delta_margin,-0.41266987,-0.76140006,600,exploratory / descriptive only; no significance test
